"","prec","tmax","tmin","id","lectivo","fest","hora","intensidad","carga","dia","mes","anio"
"26",FALSE,18,4,S4315,Si,F,09:30,685,14,Sun,May, 2016
"30",FALSE,18,4,S4315,Si,F,07:00,475,10,Sun,May, 2016
"31",FALSE,18,4,S4315,Si,F,07:15,491,12,Sun,May, 2016
"32",FALSE,18,4,S4315,Si,F,07:30,375,11,Sun,May, 2016
"33",FALSE,18,4,S4315,Si,F,07:45,338,9,Sun,May, 2016
"34",FALSE,18,4,S4315,Si,F,09:45,622,18,Sun,May, 2016
"35",FALSE,18,4,S4315,Si,F,08:00,268,6,Sun,May, 2016
"36",FALSE,18,4,S4315,Si,F,08:15,340,7,Sun,May, 2016
"37",FALSE,18,4,S4315,Si,F,08:30,340,7,Sun,May, 2016
"38",FALSE,18,4,S4315,Si,F,08:45,475,10,Sun,May, 2016
"39",FALSE,18,4,S4315,Si,F,09:00,474,12,Sun,May, 2016
"40",FALSE,18,4,S4315,Si,F,09:15,577,13,Sun,May, 2016
"41",FALSE,18,4,S4315,Si,F,10:15,616,17,Sun,May, 2016
"42",FALSE,18,4,S4315,Si,F,10:30,866,18,Sun,May, 2016
"43",FALSE,18,4,S4315,Si,F,10:45,814,21,Sun,May, 2016
"44",FALSE,18,4,S4315,Si,F,11:00,919,20,Sun,May, 2016
"45",FALSE,18,4,S4315,Si,F,11:15,1023,24,Sun,May, 2016
"46",FALSE,18,4,S4315,Si,F,11:30,967,27,Sun,May, 2016
"47",FALSE,18,4,S4315,Si,F,11:45,1213,28,Sun,May, 2016
"48",FALSE,18,4,S4315,Si,F,12:00,1297,30,Sun,May, 2016
"49",FALSE,18,4,S4315,Si,F,12:15,1306,33,Sun,May, 2016
"50",FALSE,18,4,S4315,Si,F,12:30,1457,36,Sun,May, 2016
"51",FALSE,18,4,S4315,Si,F,12:45,1375,35,Sun,May, 2016
"52",FALSE,18,4,S4315,Si,F,10:00,714,15,Sun,May, 2016
"53",FALSE,18,4,S4315,Si,F,15:30,1085,28,Sun,May, 2016
"54",FALSE,18,4,S4315,Si,F,13:00,1241,36,Sun,May, 2016
"55",FALSE,18,4,S4315,Si,F,13:15,1415,35,Sun,May, 2016
"56",FALSE,18,4,S4315,Si,F,13:30,1265,34,Sun,May, 2016
"57",FALSE,18,4,S4315,Si,F,15:45,906,25,Sun,May, 2016
"58",FALSE,18,4,S4315,Si,F,13:45,1407,35,Sun,May, 2016
"59",FALSE,18,4,S4315,Si,F,14:00,1295,35,Sun,May, 2016
"60",FALSE,18,4,S4315,Si,F,14:15,1241,34,Sun,May, 2016
"61",FALSE,18,4,S4315,Si,F,14:30,1371,34,Sun,May, 2016
"62",FALSE,18,4,S4315,Si,F,14:45,1219,34,Sun,May, 2016
"63",FALSE,18,4,S4315,Si,F,15:00,1180,32,Sun,May, 2016
"64",FALSE,18,4,S4315,Si,F,15:15,1162,29,Sun,May, 2016
"65",FALSE,18,4,S4315,Si,F,18:15,1127,30,Sun,May, 2016
"66",FALSE,18,4,S4315,Si,F,16:00,805,21,Sun,May, 2016
"67",FALSE,18,4,S4315,Si,F,16:15,762,21,Sun,May, 2016
"68",FALSE,18,4,S4315,Si,F,18:30,1025,28,Sun,May, 2016
"69",FALSE,18,4,S4315,Si,F,16:30,987,21,Sun,May, 2016
"70",FALSE,18,4,S4315,Si,F,16:45,984,25,Sun,May, 2016
"71",FALSE,18,4,S4315,Si,F,17:00,968,25,Sun,May, 2016
"72",FALSE,18,4,S4315,Si,F,17:15,1041,28,Sun,May, 2016
"73",FALSE,18,4,S4315,Si,F,17:30,1047,26,Sun,May, 2016
"74",FALSE,18,4,S4315,Si,F,17:45,1197,30,Sun,May, 2016
"75",FALSE,18,4,S4315,Si,F,18:00,1147,31,Sun,May, 2016
"76",FALSE,18,4,S4315,Si,F,19:30,1091,29,Sun,May, 2016
